,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Time_To_Expiry,closest_opt_expiry,closest_fut_expiry,Fut_Close_Ref,Close_Strike_Diff,UNIQUE,IVOL
278741,OPTIDX,NIFTY,2024-02-29,22150.0,CE,171.95,187.0,113.6,128.9,128.9,1452279,16187821.69,2615850,1957400,2024-02-26,3,3,3,22141.65,-8.349999999998545,NIFTY2024-02-2922150.0CE,0.12846566723783326
278742,OPTIDX,NIFTY,2024-02-29,22200.0,CE,153.0,158.0,92.8,104.8,104.8,2191970,24461583.5,6560500,2761700,2024-02-26,3,3,3,22141.65,-58.349999999998545,NIFTY2024-02-2922200.0CE,0.12824236554843083
278743,OPTIDX,NIFTY,2024-02-29,22250.0,CE,139.5,139.5,74.5,84.25,84.25,892394,9970897.68,3169950,711300,2024-02-26,3,3,3,22141.65,-108.34999999999854,NIFTY2024-02-2922250.0CE,0.12841824301540328
278744,OPTIDX,NIFTY,2024-02-29,22300.0,CE,100.0,108.65,58.6,66.25,66.25,1408881,15763498.63,6832900,1299100,2024-02-26,3,3,3,22141.65,-158.34999999999854,NIFTY2024-02-2922300.0CE,0.12803441479081812
278745,OPTIDX,NIFTY,2024-02-29,22350.0,CE,82.05,87.95,45.1,50.9,50.9,622867,6979126.33,1948750,762900,2024-02-26,3,3,3,22141.65,-208.34999999999854,NIFTY2024-02-2922350.0CE,0.1273092853534763
278746,OPTIDX,NIFTY,2024-02-29,22400.0,CE,74.1,74.1,34.3,38.7,38.7,1162435,13046339.94,5769900,1581650,2024-02-26,3,3,3,22141.65,-258.34999999999854,NIFTY2024-02-2922400.0CE,0.1271331752959668
278747,OPTIDX,NIFTY,2024-02-29,22450.0,CE,56.6,61.5,25.85,28.9,28.9,581889,6541827.43,2321750,608700,2024-02-26,3,3,3,22141.65,-308.34999999999854,NIFTY2024-02-2922450.0CE,0.12697406842744385
278748,OPTIDX,NIFTY,2024-02-29,22500.0,CE,33.3,42.35,19.4,21.6,21.6,1120601,12621888.82,6799600,219400,2024-02-26,3,3,3,22141.65,-358.34999999999854,NIFTY2024-02-2922500.0CE,0.1276053831406898
278749,OPTIDX,NIFTY,2024-02-29,22550.0,CE,27.9,32.35,14.15,15.5,15.5,454985,5134413.07,1833200,706450,2024-02-26,3,3,3,22141.65,-408.34999999999854,NIFTY2024-02-2922550.0CE,0.12728385632908612
278750,OPTIDX,NIFTY,2024-02-29,22600.0,CE,19.7,24.25,10.0,11.1,11.1,783545,8859761.59,5338200,1443100,2024-02-26,3,3,3,22141.65,-458.34999999999854,NIFTY2024-02-2922600.0CE,0.1275433251303184
278838,OPTIDX,NIFTY,2024-02-29,21650.0,PE,16.65,25.55,11.0,14.0,14.0,295010,3195930.15,1115000,273700,2024-02-26,3,3,3,22141.65,491.65000000000146,NIFTY2024-02-2921650.0PE,0.15425864027383795
278839,OPTIDX,NIFTY,2024-02-29,21700.0,PE,19.85,32.2,14.15,18.3,18.3,560523,6087674.71,3775750,224950,2024-02-26,3,3,3,22141.65,441.65000000000146,NIFTY2024-02-2921700.0PE,0.15314015662625025
278840,OPTIDX,NIFTY,2024-02-29,21750.0,PE,23.4,40.0,18.05,23.5,23.5,314252,3421779.6,1216850,2600,2024-02-26,3,3,3,22141.65,391.65000000000146,NIFTY2024-02-2921750.0PE,0.15162478778256627
278841,OPTIDX,NIFTY,2024-02-29,21800.0,PE,28.4,49.55,23.1,30.25,30.25,781646,8533244.3,4323900,872850,2024-02-26,3,3,3,22141.65,341.65000000000146,NIFTY2024-02-2921800.0PE,0.15063080195432121
278842,OPTIDX,NIFTY,2024-02-29,21850.0,PE,35.0,60.7,27.65,38.3,38.3,440165,4818169.57,1467500,705000,2024-02-26,3,3,3,22141.65,291.65000000000146,NIFTY2024-02-2921850.0PE,0.14925956188199052
278843,OPTIDX,NIFTY,2024-02-29,21900.0,PE,43.3,74.15,36.75,48.05,48.05,953474,10465680.42,4619600,1061450,2024-02-26,3,3,3,22141.65,241.65000000000146,NIFTY2024-02-2921900.0PE,0.1478547180613532
278844,OPTIDX,NIFTY,2024-02-29,21950.0,PE,54.5,89.9,46.35,60.4,60.4,549892,6053054.9,1519050,73900,2024-02-26,3,3,3,22141.65,191.65000000000146,NIFTY2024-02-2921950.0PE,0.14724611110614205
278845,OPTIDX,NIFTY,2024-02-29,22000.0,PE,70.0,107.6,57.8,74.85,74.85,1760542,19436541.21,6632950,-784000,2024-02-26,3,3,3,22141.65,141.65000000000146,NIFTY2024-02-2922000.0PE,0.14641040253081883
278846,OPTIDX,NIFTY,2024-02-29,22050.0,PE,79.5,128.55,71.85,92.6,92.6,815304,9028760.37,1280800,463400,2024-02-26,3,3,3,22141.65,91.65000000000146,NIFTY2024-02-2922050.0PE,0.14648107912762498
278847,OPTIDX,NIFTY,2024-02-29,22100.0,PE,110.0,151.9,88.45,112.65,112.65,2273228,25252963.13,4310250,1438350,2024-02-26,3,3,3,22141.65,41.650000000001455,NIFTY2024-02-2922100.0PE,0.1461280290986906
